appid,name,description,price,release_date,developer,publisher,tags
1470930,Space Captain McCallery - Episode 3: The Weaponmaster's Challenge,Captain McCallery voyages to a planet of prehistoric monsters in search of a reclusive Weaponmaster.,₹ 250,"5 Jul, 2022",Renegade Sector Games,Renegade Sector Games,"Action, Adventure, Indie"
1470940,STAR FLEET II - Krellan Commander Version 2.0,"Welcome to the future of space warfare! Star Fleet II: Krellan Commander puts you in command of an advanced space battlecruiser and tasks you with exploring sectors, fighting and boarding enemy ships, and invading planets. Manage your ship, crew and escorts effectively and find your way to victory!",₹ 349,"13 Nov, 2023","Trevor Sorensen, Mark Baldwin",Trevor Sorensen,"Simulation, Strategy"
1470950,Fantasy Grounds - High Guard,"High GuardWelcome to High Guard .This book is a major expansion to the Traveller roleplaying game, enabling you to design, build and fly spacecraft of all types found throughout the galaxy. You will find rules to modify existing ships, design high performance space superiority flyers, and construct the largest capital ships to travel the...","₹ 1,099","8 Dec, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1470970,GraviFire,GraviFire is a logic game that mixes the mechanics of movement and gravity. You need to put all the objects in the right places by controlling the character and the force of gravity. It will not be easy to complete the task by overcoming all obstacles.,₹ 77,"25 Nov, 2020",Potata Company,Potata Company,"Casual, Indie, Strategy"
1470990,"Fantasy Grounds - Rumours, Notes and Books Collection","Rumours, Notes and Books CollectionThis is a collection of four different modules that add rumours, notes and books to your Pathfinder 1st Edition game. Each of the four modules is detailed more thoroughly below.",₹ 199,"8 Dec, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1471010,Fantasy Grounds - Rolemaster Companion I,"Rolemaster Companion IDigitally remastered and including updates for Rolemaster Classic , Rolemaster Companion I is a must for all Rolemaster (2nd Edition and Classic) fans. Every aspect of Rolemaster is expanded with optional rules and guidelines.",₹ 459,"15 Dec, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1471040,Base One,Base One is a space base builder game where you take control of a network of space stations and its crew's tasks and wellbeing. Maintain your resources and defenses as you navigate the wide array of dangers ahead of you!,₹ 569,"11 May, 2021",PixFroze,Blowfish Studios,Simulation
1471070,Squares Rage Character - Monocle Man,Travel through your Squares Rage Puzzles in style with Monocle Man!,₹ 42,"12 Nov, 2020",AjayMadeThis,,"Casual, Indie, RPG, Simulation, Strategy"
1471071,Squares Rage Character - Dashing Dave,"Travel through your Squares Rage levels looking HOT, with Dashing Dave.",₹ 42,"12 Nov, 2020",AjayMadeThis,,"Casual, Indie, RPG, Simulation, Strategy"
1471072,Squares Rage Character - Crying Chris,Play as him through your Squares Rage levels to try and get him to stop crying.,₹ 42,"13 Nov, 2020",AjayMadeThis,,"Casual, Indie, RPG, Simulation, Strategy"
1471073,Squares Rage Character - Beat-Up-Black-Eyed Billy,"Travel through your Squares Rage levels, looking awful. Only with Beat-Up-Black-Eyed Billy!",₹ 42,"13 Nov, 2020",AjayMadeThis,,"Casual, Indie, RPG, Simulation, Strategy"
1471074,Squares Rage Character - Facial Hair Frank,Travel through your Squares Rage levels with a sick beard! Only with Facial Hair Frank.,₹ 42,"13 Nov, 2020",AjayMadeThis,,"Casual, Indie, RPG, Simulation, Strategy"
1471080,Deep Night Detective - Chapter One,"Deep Night Detective, the monochromatic mystery metroidvania! Created by Wilson Taylor with music by Lewmoth!",N/A,"16 Jun, 2021",Wilson Taylor,Trainwreck Studios,"Action, Adventure, Indie, Free To Play"
1471110,RollingGunner - OverPower,"The additional content &quot;Over Power&quot; that allows shooting with the right stick is specialized for twin sticks. The content is full of exhilaration, such as the jingling feeling of score items after defeating enemies that appear in the narrow screen.",₹ 480,"21 Dec, 2022",Project Rolling Gunner,mebius.,"Action, Indie"
1471120,弹幕大修仙 - 开篇,"STG Become on Immortal - Opening Chapter is a bullet screen shooting game, which integrates China immortal elements into bullet screen shooting. Rich bullet screen types and rich bullet screen effects may give you a different experience.",₹ 52,"4 Dec, 2020",GCN,GCN,"Casual, Indie"
1471180,梦江湖,"My Xiake stand-alone version is a role-playing game with martial arts theme. It is to fight with all kinds of chivalrous men in blood alliance, or to spend three lives with a beautiful confidant. Righteousness and evil are always just a thought.",₹ 841,"12 Jul, 2022",侠客工作室,侠客工作室,"Casual, RPG, Strategy"
1471200,YUME,"In &quot;YUME&quot;, a girl went to the abandoned Dance Hall to record a program in a era of peace, but unfortunate thing happened. Through the deep reveal of obsolete items that can drive the plot, and the multi-layered switching between characters allows players to experience the girl's past.",₹ 125,"14 Jan, 2021",Lovely Games,Lovely Games,
1471220,Timothy ティモシー -神秘の森-,ある日、どんな薬も効かない原因不明の流行り病が村を襲った。 いつも元気な男の子ティモシーの、二人暮らしの大好きなおじいちゃんも病に倒れてしまった。 村の言い伝えにあった、どんな病も治すことができる『魔法のキノコ』の話。 ティモシーは、『魔法のキノコ』を無事に見つけることができるか…？,₹ 349,"23 Dec, 2021",Kibou Entertainment,Worker Bee Inc.,"Action, Adventure, Indie"
1471250,Orion: The Eternal Punishment,Orion is a frantic first person shooter where you fight the void creatures in mysterious planets and advance using your special abilities and gadgets.,N/A,"5 Jan, 2021",Frogames SL,Juan Gabriel Gomila,"Action, Adventure, Indie"
1471260,The Tower Of TigerQiuQiu Drop Balls,AboutBubbles of the same three colors are stacked together to eliminate them. A full score can challenge the next level. Each level has a different terrain and be careful not to let bubbles fill the space.FeatureThe DLC include full 10 missions,₹ 155,"12 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1471270,Seablip,"Go from humble beginnings to a feared pirate captain in this seafaring open-world adventure! Enhance your reputation as you take on bounties, upgrade your ship, hire a crew and search for treasure, or just go fishing instead!",₹ 690,"17 May, 2024",Jardar Solli,Vibedy,"Adventure, Indie, RPG, Early Access"
1471310,Fernbus Simulator - Bavarian Castle,This free DLC will add the famous and romantic 19th-century bavarian castle to the world of Fernbus Simulator.,N/A,"18 Dec, 2020",TML-Studios,TML-Studios,"Casual, Simulation"
1471320,Devi : A light in the dark,"Uncover hidden truths in a remote Indian village where a teenage girl has vanished without a trace. Step into the shoes of Devi, an amateur sleuth with a passion for detective novels, as she defies her parents' wishes to embark on a perilous journey to find her missing friend.",N/A,To be announced,Flying Robot Studios,Flying Robot Studios,"Adventure, Indie, RPG"
1471340,Elliot Soundtrack,Immerse into the amazing Elliot Original Soundtrack composed by Tiaviolí Gaming. Relax and enjoy +1 hour of happy and fun music composed of +20 themes.,₹ 125,"20 Nov, 2020",Plain and Game,Plain and Game,
1471360,Ninja Hanrei - Extra Coins,This DLC multiply your coins x10 to get skins faster.,₹ 85,"29 Nov, 2020",DynKen,DynKen,"Action, Adventure, Free To Play, Indie"
1471370,The Thought Police Hotline: Episode 1 Soundtrack,This is the soundtrack for The Thought Police Hotline: Episode 1.,₹ 52,"2 Dec, 2020",Voonle,Voonle,
1471390,KARDS - Starter Pack,The Starter Pack contains everything you need to start building your own collection! This content requires the base game KARDS on Steam in order to play.,₹ 349,"21 Dec, 2020",1939 Games,1939 Games,"Casual, Indie, Strategy"
1471410,SYNTHETIK 2,SYNTHETIK 2 is a bold continuation of SYNTHETIK: Legion Rising. Fight a world overrun by the relentless Machine Legion. Experience the next level in gun-play and upgrade yourself beyond measure to rival their Gods. Can you defeat the Heart of Armageddon?,₹ 749,"11 Nov, 2021",Flow Fire Games,Flow Fire Games,"Action, Indie, Early Access"
1471430,Somewhen,"Fight, fish, build, cook, and invent your way through 8 chapters guaranteed with hours of play through a unique dungeon stage system, familiar on-map turn-based combat, and town-building mechanics! Invent new weapons and trinkets! Travel back and forth through time by train! Restore time itself!",N/A,To be announced,Sundial Shark,Sundial Shark,"Adventure, Indie, RPG"
1471450,X遊戲,各懷目的的少年少女們，聚在一起挑戰神奇的「X遊戲」，沒有甚麼神奇的奇幻的魔法，更沒有外星人或鬼怪等事件，僅僅只是一個普通的狼人殺遊戲而已......嗎？找出真正的兇手，並且在那之前避免被票死，活到最後，擄獲美人心吧！,₹ 42,"2 Dec, 2020",Oath,Oath,Casual
1471460,Dualism,"Intense arcade shoot 'em up / bullet hell with twin-stick controls, roguelite upgrades, and a white &amp; black twist where opposites damage and similars heal. An addicting, challenging, and relentless experience where you must control light and dark to succeed.",₹ 349,"14 Jan, 2021",Noah Judson,Noah Judson,"Action, Indie, Early Access"
1471470,Tales of Lagoona,"Welcome to the magical undersea world of Lagoona. Help Islabelle the Mermaid save the orphanage as you seek and find your way across beautiful underwater locations, sell your wares at the Coral Bay Market, and even solve quests for people in town!",₹ 299,"16 Dec, 2020",Playcademy,GC Games,Casual
1471480,Theomachiae,Play as giant monsters and fight! Sow destruction and chaos in destructible environments! And compete against other players in local or online multiplayer.,N/A,Coming soon,Maxime B,Maxime B,Action
1471490,Bob Help Them,"Bob Help Them is a timer-based game, where your goal is to help all NPC's before the timer ends.",₹ 219,"25 Nov, 2020",Gagonfe,Gagonfe,"Casual, Indie, Strategy"
1471500,Tales of Lagoona 2: Peril at Poseidon Park,Return to the undersea world of Lagoona! Poseidon Park is in trouble. The Mayor has shut it down until repairs are made and Leona is desperate to save the park. Join a quirky cast of characters as you set out on another Hidden Object journey in Lagoona!,₹ 349,"16 Dec, 2020",Playcademy,GC Games,Casual
1471510,"Tales of Lagoona 3: Frauds, Forgeries, and Fishsticks",Return to Lagoona at the bottom of the sea for a new Hidden Object adventure! Poseidon Park is in trouble once again as the latest repairs have gone horribly awry. Mayor Finn has disappeared and Leona and Theo are desperate to save the park.,₹ 349,"16 Dec, 2020",Playcademy,GC Games,Casual
1471520,OMSI 2 Add-on Leitstellen-Simulator,Join a control center event as a bus driver at any time and be part of it! Work together with the control center to complete your shifts perfectly and get the passengers to their destination safely and on time.,₹ 880,"3 Dec, 2020",PeDePe GbR,Aerosoft GmbH,"Casual, Simulation"
1471521,OMSI 2 Add-on OmniNavigation,The navigation system clearly shows you your current route and your current location. So you don't need the often confusing OMSI 2 help arrows anymore and you can easily find the right way at every intersection.,₹ 480,"3 Dec, 2020",PeDePe GbR,Aerosoft GmbH,"Casual, Simulation"
1471550,Variable,"The goal of the game is to score more points than the opponent. The player must take cards from the common deck. When the deck is over, points are counted. There are five types of cards. If the card is repeated, then the move is transferred to another player.",₹ 250,"13 Dec, 2020",Kedexa,Kedexa,Casual
1471580,Death Run,Death Run: The ultimate first-person parkour game in the sky! Experience a journey over floating platforms. Your mission: Survive and find the portal to the next level. Beat the clock for a high score. Dodge obstacles to win. Are you ready?,₹ 300,"22 Dec, 2023",Daniel Schemann,SilentFuture,"Action, Indie, Sports"
1471590,Planet Zoo: Aquatic Pack,"Expand your zoo into a marine menagerie with Planet Zoo's Aquatic Pack! Adopt five magnificent new animals including King Penguins and Giant Otters, construct beautiful scenery from 170+ new pieces, and master the aquatic-themed challenge zoo set in Oregon, USA.",£7.99,"8 Dec, 2020",Frontier Developments,Frontier Developments,"Simulation, Strategy"
1471600,warDrive: Prologue,"warDrive is a casual rail shooter and idler. Lock-on then unleash a barrage of cyber attacks. Dismantle enemy drones, pickpocket crypto wallets, and fight your way to freedom. Buy upgrades, passive crypto mining, and progress through the story.",N/A,"1 Apr, 2022",Bardic Bytes LLC,Bardic Bytes LLC,"Action, Casual, Indie, Early Access"
1471610,BDSM VR,"Experience graphic, realistic S&amp;M. This girl is yours and yours alone, so feel free to love, hold, and tease her to your heart's content...",₹ 329,"25 Nov, 2020",VISON STUDIOS,VISON STUDIOS,Simulation
1471620,Bryant's Freeski,"Play a modernized take on the classic 90's era game Ski Free. Bryant's Freeski is a fun, fast paced skiing game. Of course, don't forget to AVOID THE YETI!",N/A,Coming soon,Bryant's,Bryant's,"Casual, Sports"
